Date,Team,Opp,GS,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"2026-09-22","MIL","@PHI",0,,,,,,,,,,,,,"Kyle Harrison","27758",690986
"2026-09-20","MIL","@BAL",0,107.92,,,,,27.58,,,,116.16,75.78399999999999,87.56,"Kyle Harrison","27758",690986
"2026-09-17","MIL","@PIT",1,75.03999999999999,,104.6,,,76.76,59,,,112.59306122448979,73.98367346938775,78.92979591836735,"Kyle Harrison","27758",690986
"2026-09-12","MIL","CIN",0,92.64,,,,,87.3,,,,109.33176470588235,90.44117647058823,91.50588235294117,"Kyle Harrison","27758",690986
"2026-09-06","MIL","@CIN",1,67.64,,,,,120.82,67.2,,,95.82838709677421,91.61419354838709,88.75870967741938,"Kyle Harrison","27758",690986
"2026-08-31","MIL","@CHC",1,98.96000000000001,,,,,122.66,101.76,,,98.66571428571429,107.09877551020408,104.83387755102042,"Kyle Harrison","27758",690986
"2026-08-25","MIL","@NYM",1,115.84,177.14,,,,114.74,70.36,,,105.14933333333332,117.16266666666668,117.84577777777777,"Kyle Harrison","27758",690986
"2026-08-18","MIL","SEA",1,111.54,155.26,,,,105.66,39.92,,,103.67769230769231,108.37948717948719,109.97205128205128,"Kyle Harrison","27758",690986
"2026-08-11","MIL","@SDP",1,93.98,134.6,,,,123.58,83.02,,,103.43056179775279,106.29033707865169,111.94786516853934,"Kyle Harrison","27758",690986
"2026-08-05","MIL","PIT",1,107.96000000000001,124.42,,,,140.01999999999998,66.92,,,114.18205882352942,114.82117647058824,120.01529411764704,"Kyle Harrison","27758",690986
"2026-07-08","MIL","@STL",1,112.44,146.18,,,,100.18,91.16,,,106.56057142857142,105.33114285714286,108.56485714285715,"Kyle Harrison","27758",690986
"2026-07-03","MIL","@ARI",1,141.3,-19.459999999999994,,,,108.6,92.52,,,101.23222222222222,122.10027777777779,125.17499999999998,"Kyle Harrison","27758",690986
"2026-06-27","MIL","CHC",1,116.88,23.819999999999993,,,,104.28,110.82000000000001,,,111.22326086956522,110.42413043478261,113.11130434782606,"Kyle Harrison","27758",690986
"2026-06-20","MIL","@ATL",1,142.8,154.94,,,,105.26,76.32000000000001,,,103.21214285714285,125.0357142857143,128.48285714285714,"Kyle Harrison","27758",690986
"2026-06-14","MIL","PHI",1,109.3,64.4,,,,117.88,49.86,,,100.04524999999998,108.01075,107.277,"Kyle Harrison","27758",690986
"2026-06-08","MIL","@ATH",1,135.74,,,,,70.84,86.12,,,97.39388888888888,108.50333333333334,102.22888888888889,"Kyle Harrison","27758",690986
"2026-06-02","MIL","SFG",1,116.22,,,,,131.26,86,,,107.0977358490566,119.19169811320755,121.33415094339624,"Kyle Harrison","27758",690986
"2026-05-26","MIL","STL",1,117.92,,,,,127.22000000000003,60.019999999999996,,,109.66111111111113,118.52666666666669,124.55066666666664,"Kyle Harrison","27758",690986
"2026-05-20","MIL","@CHC",1,117.25999999999999,,,,,138.02,53.06,,,109.90893617021275,122.07787234042553,127.18085106382979,"Kyle Harrison","27758",690986
"2026-05-14","MIL","SDP",1,133.6,52.72,,,,126.06,89,,,108.10464646464646,125.17474747474746,127.8529292929293,"Kyle Harrison","27758",690986
"2026-05-09","MIL","NYY",1,114.97999999999999,70.84,,,,99.42,126.46000000000001,,,110.38129870129872,108.92077922077925,114.41714285714284,"Kyle Harrison","27758",690986
"2026-05-02","MIL","@WSN",1,122.03999999999999,,,,,127.02,110.32,,,101.12430107526882,122.08064516129032,123.0858064516129,"Kyle Harrison","27758",690986
"2026-04-26","MIL","PIT",1,116.86,,,,,120.7,77.7,,,107.276,111.66959999999999,109.66,"Kyle Harrison","27758",690986
"2026-04-21","MIL","@DET",1,98.06,-78.91999999999999,,,,83.28,79.98,,,102.11694444444444,90.8786111111111,94.1075,"Kyle Harrison","27758",690986
"2026-04-11","MIL","WSN",1,127.58,171.88,,,,108.96000000000001,67.48,,,109.02657894736842,117.1407894736842,121.67263157894737,"Kyle Harrison","27758",690986
"2026-04-05","MIL","@KCR",1,102.62,,,,,111.08,74.74000000000001,,,103.68606741573034,102.05393258426965,103.76426966292135,"Kyle Harrison","27758",690986
"2026-03-30","MIL","TBR",1,128.07999999999998,105.68,,,,101.16,121.6,,,111.36781609195403,119.68091954022987,122.77885057471266,"Kyle Harrison","27758",690986
