Date,Team,Opp,GS,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"2026-09-22","MIL","@PHI",0,,,,,,,,,,,,,"Kyle Harrison","27758",690986
"2026-09-20","MIL","@BAL",0,115.48,,,,,117.18,,,,116.16,75.78399999999999,87.56,"Kyle Harrison","27758",690986
"2026-09-17","MIL","@PIT",1,106.82,,85.2,,,122.5,110,,,112.59306122448979,73.98367346938775,78.92979591836735,"Kyle Harrison","27758",690986
"2026-09-12","MIL","CIN",0,106.4,,,,,113.52,,,,109.33176470588235,90.44117647058823,91.50588235294117,"Kyle Harrison","27758",690986
"2026-09-06","MIL","@CIN",1,89.16,,,,,101.08,102.44,,,95.82838709677421,91.61419354838709,88.75870967741938,"Kyle Harrison","27758",690986
"2026-08-31","MIL","@CHC",1,98.66,,,,,96.84,102.86,,,98.66571428571429,107.09877551020408,104.83387755102042,"Kyle Harrison","27758",690986
"2026-08-25","MIL","@NYM",1,108.32,102.36,,,,101,94.68,,,105.14933333333332,117.16266666666668,117.84577777777777,"Kyle Harrison","27758",690986
"2026-08-18","MIL","SEA",1,102.56,113.06,,,,105.84,99.9,,,103.67769230769231,108.37948717948719,109.97205128205128,"Kyle Harrison","27758",690986
"2026-08-11","MIL","@SDP",1,105.06,123.03999999999999,,,,98.28,95.42,,,103.43056179775279,106.29033707865169,111.94786516853934,"Kyle Harrison","27758",690986
"2026-08-05","MIL","PIT",1,118.47999999999999,111.5,,,,108.41999999999999,110.78,,,114.18205882352942,114.82117647058824,120.01529411764704,"Kyle Harrison","27758",690986
"2026-07-08","MIL","@STL",1,103.2,90.62,,,,109.3,111.9,,,106.56057142857142,105.33114285714286,108.56485714285715,"Kyle Harrison","27758",690986
"2026-07-03","MIL","@ARI",1,105.52,132.76,,,,88.68,106.56000000000002,,,101.23222222222222,122.10027777777779,125.17499999999998,"Kyle Harrison","27758",690986
"2026-06-27","MIL","CHC",1,114.42,102.1,,,,107.18,105.92,,,111.22326086956522,110.42413043478261,113.11130434782606,"Kyle Harrison","27758",690986
"2026-06-20","MIL","@ATL",1,103.4,99.64,,,,102.8,104.62,,,103.21214285714285,125.0357142857143,128.48285714285714,"Kyle Harrison","27758",690986
"2026-06-14","MIL","PHI",1,96.91999999999999,133.06,,,,97.74,120.1,,,100.04524999999998,108.01075,107.277,"Kyle Harrison","27758",690986
"2026-06-08","MIL","@ATH",1,87.9,,,,,112.12,99.3,,,97.39388888888888,108.50333333333334,102.22888888888889,"Kyle Harrison","27758",690986
"2026-06-02","MIL","SFG",1,114.78,,,,,92.86,99.62,,,107.0977358490566,119.19169811320755,121.33415094339624,"Kyle Harrison","27758",690986
"2026-05-26","MIL","STL",1,109.98,,,,,106.98,126.44000000000001,,,109.66111111111113,118.52666666666669,124.55066666666664,"Kyle Harrison","27758",690986
"2026-05-20","MIL","@CHC",1,114.64,,,,,100,97.24,,,109.90893617021275,122.07787234042553,127.18085106382979,"Kyle Harrison","27758",690986
"2026-05-14","MIL","SDP",1,111.36,95.54,,,,89.84,125.86,,,108.10464646464646,125.17474747474746,127.8529292929293,"Kyle Harrison","27758",690986
"2026-05-09","MIL","NYY",1,117.20000000000002,77.98,,,,104.5,99,,,110.38129870129872,108.92077922077925,114.41714285714284,"Kyle Harrison","27758",690986
"2026-05-02","MIL","@WSN",1,100.14,,,,,100.64,106.56,,,101.12430107526882,122.08064516129032,123.0858064516129,"Kyle Harrison","27758",690986
"2026-04-26","MIL","PIT",1,109.08,,,,,103.06000000000002,108.34,,,107.276,111.66959999999999,109.66,"Kyle Harrison","27758",690986
"2026-04-21","MIL","@DET",1,107.98,65.1,,,,84.03999999999999,97.76,,,102.11694444444444,90.8786111111111,94.1075,"Kyle Harrison","27758",690986
"2026-04-11","MIL","WSN",1,111.69999999999999,83.56,,,,109.71999999999998,109.44,,,109.02657894736842,117.1407894736842,121.67263157894737,"Kyle Harrison","27758",690986
"2026-04-05","MIL","@KCR",1,104.44,,,,,103.14,101.24,,,103.68606741573034,102.05393258426965,103.76426966292135,"Kyle Harrison","27758",690986
"2026-03-30","MIL","TBR",1,114.5,95.02,,,,102.6,118.84,,,111.36781609195403,119.68091954022987,122.77885057471266,"Kyle Harrison","27758",690986
